map_simple_use,premise_age,height_bucket,total_count,global_average_fc
Mixed Use,"1919-1944,1960-1979",90-100m,0,
Mixed Use,"1919-1944,1980-1989",0-2m,0,
Mixed Use,"1919-1944,1980-1989",10-12m,9,2.2222222222222223
Mixed Use,"1919-1944,1980-1989",100-200m,0,
Mixed Use,"1919-1944,1980-1989",12-14m,3,3.0
Mixed Use,"1919-1944,1980-1989",14-16m,5,3.4
Mixed Use,"1919-1944,1980-1989",16-18m,2,3.0
Mixed Use,"1919-1944,1980-1989",18-20m,1,4.0
Mixed Use,"1919-1944,1980-1989",2-3m,0,
Mixed Use,"1919-1944,1980-1989",20-25m,6,4.666666666666667
Mixed Use,"1919-1944,1980-1989",25-30m,1,6.0
Mixed Use,"1919-1944,1980-1989",3-4m,0,
Mixed Use,"1919-1944,1980-1989",30-35m,0,
Mixed Use,"1919-1944,1980-1989",35-40m,0,
Mixed Use,"1919-1944,1980-1989",4-5m,0,
Mixed Use,"1919-1944,1980-1989",40-45m,0,
Mixed Use,"1919-1944,1980-1989",45-50m,0,
Mixed Use,"1919-1944,1980-1989",5-6m,0,
Mixed Use,"1919-1944,1980-1989",50-55m,0,
Mixed Use,"1919-1944,1980-1989",55-60m,0,
Mixed Use,"1919-1944,1980-1989",6-7m,0,
Mixed Use,"1919-1944,1980-1989",60-70m,0,
Mixed Use,"1919-1944,1980-1989",7-8m,2,2.0
Mixed Use,"1919-1944,1980-1989",70-80m,0,
Mixed Use,"1919-1944,1980-1989",8-9m,8,2.0
Mixed Use,"1919-1944,1980-1989",80-90m,0,
Mixed Use,"1919-1944,1980-1989",9-10m,15,2.0
Mixed Use,"1919-1944,1980-1989",90-100m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",0-2m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",10-12m,1,2.0
Mixed Use,"1919-1944,1980-1989,Pre 1919",100-200m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",12-14m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",14-16m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",16-18m,1,3.0
Mixed Use,"1919-1944,1980-1989,Pre 1919",18-20m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",2-3m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",20-25m,1,5.0
Mixed Use,"1919-1944,1980-1989,Pre 1919",25-30m,1,5.0
Mixed Use,"1919-1944,1980-1989,Pre 1919",3-4m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",30-35m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",35-40m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",4-5m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",40-45m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",45-50m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",5-6m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",50-55m,0,
Mixed Use,"1919-1944,1980-1989,Pre 1919",55-60m,0,
