,map_simple_use,premise_age,height_bucket,weighted_average_floor_count
1030,Mixed Use,Pre 1837,5-6m,1.6774193548387097
1031,Mixed Use,Pre 1837,6-7m,2.125
1032,Mixed Use,Pre 1837,7-8m,2.1198347107438016
1033,Mixed Use,Pre 1837,8-9m,2.1252955082742315
1034,Mixed Use,Pre 1837,9-10m,2.243732590529248
1035,Mixed Use,Pre 1837,10-12m,2.6955602536997887
1036,Mixed Use,Pre 1837,12-14m,3.0452446906740533
1037,Mixed Use,Pre 1837,14-18m,3.4679089026915113
1038,Mixed Use,Pre 1837,18-20m,3.9622641509433962
1039,Mixed Use,Pre 1837,20-30m,3.967289719626168
1040,Mixed Use,Pre 1837,30-40m,3.7142857142857144
1041,Mixed Use,Pre 1837,40-50m,5.5
1042,Mixed Use,Pre 1837,50-100m,10.0
1044,Mixed Use,Pre 1919,0-2m,2.3230769230769233
1045,Mixed Use,Pre 1919,2-3m,2.251655629139073
1046,Mixed Use,Pre 1919,3-4m,2.3653007846556235
1047,Mixed Use,Pre 1919,4-5m,2.286158631415241
1048,Mixed Use,Pre 1919,5-6m,2.267857142857143
1049,Mixed Use,Pre 1919,6-7m,2.179060665362035
1050,Mixed Use,Pre 1919,7-8m,2.1269035532994924
1051,Mixed Use,Pre 1919,8-9m,2.116386925795053
1052,Mixed Use,Pre 1919,9-10m,2.1905885437147727
1053,Mixed Use,Pre 1919,10-12m,2.403766413268832
1054,Mixed Use,Pre 1919,12-14m,2.7966339410939693
1055,Mixed Use,Pre 1919,14-18m,3.0989805375347546
1056,Mixed Use,Pre 1919,18-20m,3.415261044176707
1057,Mixed Use,Pre 1919,20-30m,3.7938575333654927
1058,Mixed Use,Pre 1919,30-40m,4.437445319335083
1059,Mixed Use,Pre 1919,40-50m,4.536082474226804
1060,Mixed Use,Pre 1919,50-100m,4.233870967741935
1061,Mixed Use,Pre 1919,100-200m,4.333333333333333
1069,Mixed Use,"Pre 1919,Unknown date",8-9m,2.0
1073,Mixed Use,"Pre 1919,Unknown date",14-18m,2.0
1075,Mixed Use,"Pre 1919,Unknown date",20-30m,4.0
1080,Mixed Use,Unknown date,0-2m,2.2
1081,Mixed Use,Unknown date,2-3m,1.75
1082,Mixed Use,Unknown date,3-4m,1.3685344827586208
1083,Mixed Use,Unknown date,4-5m,1.838862559241706
1084,Mixed Use,Unknown date,5-6m,1.847457627118644
1085,Mixed Use,Unknown date,6-7m,1.8828967642526964
1086,Mixed Use,Unknown date,7-8m,1.9968725566849101
1087,Mixed Use,Unknown date,8-9m,2.090620947990203
1088,Mixed Use,Unknown date,9-10m,2.129909827296347
1089,Mixed Use,Unknown date,10-12m,2.7715462610899873
1090,Mixed Use,Unknown date,12-14m,3.2376747608535688
1091,Mixed Use,Unknown date,14-18m,3.9554317548746516
1092,Mixed Use,Unknown date,18-20m,4.847058823529411
1093,Mixed Use,Unknown date,20-30m,4.790123456790123
1094,Mixed Use,Unknown date,30-40m,3.875
1096,Mixed Use,Unknown date,50-100m,18.0
1100,Non Residential,1837-1869,3-4m,1.8181818181818181
1101,Non Residential,1837-1869,4-5m,1.5
1102,Non Residential,1837-1869,5-6m,1.2777777777777777
1103,Non Residential,1837-1869,6-7m,1.4782608695652173
1104,Non Residential,1837-1869,7-8m,2.1
1105,Non Residential,1837-1869,8-9m,1.5977011494252873
1106,Non Residential,1837-1869,9-10m,1.7076923076923076
1107,Non Residential,1837-1869,10-12m,1.803921568627451
1108,Non Residential,1837-1869,12-14m,2.087378640776699
1109,Non Residential,1837-1869,14-18m,2.5714285714285716
1110,Non Residential,1837-1869,18-20m,2.5555555555555554
1111,Non Residential,1837-1869,20-30m,3.76056338028169
1112,Non Residential,1837-1869,30-40m,4.130434782608695
1113,Non Residential,1837-1869,40-50m,3.0
1114,Non Residential,1837-1869,50-100m,4.0
1125,Non Residential,"1837-1869,Pre 1919",10-12m,2.0
1134,Non Residential,1870-1918,0-2m,1.16
1135,Non Residential,1870-1918,2-3m,1.16
1136,Non Residential,1870-1918,3-4m,1.9580838323353293
1137,Non Residential,1870-1918,4-5m,1.7142857142857142
1138,Non Residential,1870-1918,5-6m,1.6686046511627908
1139,Non Residential,1870-1918,6-7m,1.8426573426573427
1140,Non Residential,1870-1918,7-8m,1.910089224433768
1141,Non Residential,1870-1918,8-9m,1.9141772151898735
1142,Non Residential,1870-1918,9-10m,1.9306147291539866
1143,Non Residential,1870-1918,10-12m,2.0442692540933898
1144,Non Residential,1870-1918,12-14m,2.7291338582677165
1145,Non Residential,1870-1918,14-18m,2.8072519083969465
1146,Non Residential,1870-1918,18-20m,3.230769230769231
1147,Non Residential,1870-1918,20-30m,3.9945355191256833
1148,Non Residential,1870-1918,30-40m,4.038461538461538
1149,Non Residential,1870-1918,40-50m,3.5
1150,Non Residential,1870-1918,50-100m,4.818181818181818
1152,Non Residential,1919-1944,0-2m,1.3533834586466165
1153,Non Residential,1919-1944,2-3m,1.2658959537572254
1154,Non Residential,1919-1944,3-4m,1.5566629752676264
1155,Non Residential,1919-1944,4-5m,1.4260237780713343
1156,Non Residential,1919-1944,5-6m,1.327917282127031
1157,Non Residential,1919-1944,6-7m,1.4878825402441183
1158,Non Residential,1919-1944,7-8m,1.6904191616766466
1159,Non Residential,1919-1944,8-9m,1.730922751819676
1160,Non Residential,1919-1944,9-10m,1.8367099312424164
1161,Non Residential,1919-1944,10-12m,2.084160942100098
1162,Non Residential,1919-1944,12-14m,2.3601464682258446
1163,Non Residential,1919-1944,14-18m,2.4885204777226373
1164,Non Residential,1919-1944,18-20m,2.7223550508069336
1165,Non Residential,1919-1944,20-30m,3.2772867420349434
1166,Non Residential,1919-1944,30-40m,3.9757575757575756
1167,Non Residential,1919-1944,40-50m,4.337078651685394
1168,Non Residential,1919-1944,50-100m,3.3515625
1169,Non Residential,1919-1944,100-200m,3.28
1171,Non Residential,"1919-1944,1945-1959",2-3m,2.0
1172,Non Residential,"1919-1944,1945-1959",3-4m,1.027027027027027
1173,Non Residential,"1919-1944,1945-1959",4-5m,1.069767441860465
1174,Non Residential,"1919-1944,1945-1959",5-6m,1.0348837209302326
1175,Non Residential,"1919-1944,1945-1959",6-7m,1.113821138211382
1176,Non Residential,"1919-1944,1945-1959",7-8m,1.050314465408805
1177,Non Residential,"1919-1944,1945-1959",8-9m,1.1244813278008299
1178,Non Residential,"1919-1944,1945-1959",9-10m,1.1656050955414012
1179,Non Residential,"1919-1944,1945-1959",10-12m,1.3307392996108949
1180,Non Residential,"1919-1944,1945-1959",12-14m,1.4430379746835442
1181,Non Residential,"1919-1944,1945-1959",14-18m,1.5276073619631902
1182,Non Residential,"1919-1944,1945-1959",18-20m,2.0454545454545454
1183,Non Residential,"1919-1944,1945-1959",20-30m,2.784313725490196
1184,Non Residential,"1919-1944,1945-1959",30-40m,3.7777777777777777
1190,Non Residential,"1919-1944,1945-1959,1980-1989",3-4m,1.0
1191,Non Residential,"1919-1944,1945-1959,1980-1989",4-5m,1.0
1192,Non Residential,"1919-1944,1945-1959,1980-1989",5-6m,1.1428571428571428
1193,Non Residential,"1919-1944,1945-1959,1980-1989",6-7m,1.0
1194,Non Residential,"1919-1944,1945-1959,1980-1989",7-8m,1.125
1195,Non Residential,"1919-1944,1945-1959,1980-1989",8-9m,1.0625
1196,Non Residential,"1919-1944,1945-1959,1980-1989",9-10m,1.0606060606060606
1197,Non Residential,"1919-1944,1945-1959,1980-1989",10-12m,1.1935483870967742
1198,Non Residential,"1919-1944,1945-1959,1980-1989",12-14m,1.0869565217391304
1199,Non Residential,"1919-1944,1945-1959,1980-1989",14-18m,1.25
1200,Non Residential,"1919-1944,1945-1959,1980-1989",18-20m,1.3333333333333333
1201,Non Residential,"1919-1944,1945-1959,1980-1989",20-30m,1.0
1203,Non Residential,"1919-1944,1945-1959,1980-1989",40-50m,1.0
1212,Non Residential,"1919-1944,1945-1959,1980-1989,Pre 1919",7-8m,1.0
1213,Non Residential,"1919-1944,1945-1959,1980-1989,Pre 1919",8-9m,1.0
1216,Non Residential,"1919-1944,1945-1959,1980-1989,Pre 1919",12-14m,1.0
1217,Non Residential,"1919-1944,1945-1959,1980-1989,Pre 1919",14-18m,1.25
1232,Non Residential,"1919-1944,1945-1959,1980-1989,Unknown date",9-10m,1.0
1233,Non Residential,"1919-1944,1945-1959,1980-1989,Unknown date",10-12m,1.0
1247,Non Residential,"1919-1944,1945-1959,1990-1999",6-7m,1.0
1248,Non Residential,"1919-1944,1945-1959,1990-1999",7-8m,1.0
1250,Non Residential,"1919-1944,1945-1959,1990-1999",9-10m,1.0
1251,Non Residential,"1919-1944,1945-1959,1990-1999",10-12m,1.0
1252,Non Residential,"1919-1944,1945-1959,1990-1999",12-14m,1.0
1267,Non Residential,"1919-1944,1945-1959,1990-1999,Pre 1919",8-9m,2.0
1283,Non Residential,"1919-1944,1945-1959,Post 1999",6-7m,1.0
1285,Non Residential,"1919-1944,1945-1959,Post 1999",8-9m,1.0
1286,Non Residential,"1919-1944,1945-1959,Post 1999",9-10m,1.0
1287,Non Residential,"1919-1944,1945-1959,Post 1999",10-12m,1.0
1288,Non Residential,"1919-1944,1945-1959,Post 1999",12-14m,2.25
1289,Non Residential,"1919-1944,1945-1959,Post 1999",14-18m,1.0
1291,Non Residential,"1919-1944,1945-1959,Post 1999",20-30m,3.0
1300,Non Residential,"1919-1944,1945-1959,Pre 1919",5-6m,1.0
1302,Non Residential,"1919-1944,1945-1959,Pre 1919",7-8m,1.25
