shapefile,extent,crs
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/bb.shp,[ 130828.99700863 5958731.81352977  167470.74751763 6002181.4713892 ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/cf.shp,[  31147.52449274 5711228.46876916   81344.66155366 5766730.06508711],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/wc.shp,[ 282372.37406069 5710679.51734466  284327.8449898  5713524.68418449],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/tn.shp,[ 288265.84550989 5633819.39958489  363734.58897036 5695042.37375147],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ze.shp,[ 215896.89972208 6605697.7800237   295619.74171973 6753497.54219929],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/nw.shp,[ 271594.82694958 5712205.70661545  283428.01976444 5726194.50771256],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ml.shp,[  44781.24238764 6147963.01130945  101736.48703121 6220683.71105287],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/cr.shp,[ 276627.79263746 5683391.95049389  292009.86668783 5701256.32325099],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ba.shp,[  91941.56373525 5649327.87848019  153824.64769959 5712982.00361242],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/wa.shp,[ 111803.55983421 5911217.74244393  149090.5696615  5947002.324915  ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/wv.shp,[ 118559.26328781 5822187.04233659  160210.65254948 5849834.61490958],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/al.shp,[ 258947.35156734 5731679.39420102  283645.84805522 5750678.44096305],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/bd.shp,[ 146889.57115753 5962169.28461184  194298.49595155 6024211.0225168 ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/cw.shp,[ 115678.14458734 5881631.88044124  158013.12990108 5924817.22572108],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/bs.shp,[  73766.8883494  5686458.24482657  132696.89825891 5739366.85667948],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ng.shp,[ 207321.30659929 5848650.28916505  283952.07143344 5909941.72630899],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/mk.shp,[ 217455.94258484 5755575.38803967  275707.53769494 5801411.10990606],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/np.shp,[  63737.43006773 5722954.90217307  114077.66733391 5780408.85626577],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/wr.shp,[ 115046.05146016 5771757.30471146  171240.94183764 5814391.31640016],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ws.shp,[ 155637.81604326 5833095.84500511  183665.03205464 5866669.64859094],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/wd.shp,[ 254958.41503986 5722042.55843727  276364.58739253 5736901.13214144],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/yo.shp,[ 206207.65408196 5957970.15936106  299039.65203958 6049501.18147545],EPSG:32631
